Timestamp,Signature,Slot,Logs,Error,Transaction Fee,Slippage
2024-06-19T16:45:46.537Z,4bg3f3a2bt5VCh22dLkqTvQHeBtz9AZdkR14xRUYHFuMJSgajuN72TWiNbi17N7xdfuQsmaQ5bY6y2L5SZJdZm34,272804415,,,0,0
2024-06-19T16:45:46.536Z,QxebGV1kv7t32hpxA7fLYYBQdDni5V2WXibRmSqoNpvoXwHzE263TJ4ggpgZEmih1P3H6kvuEG3RzxL5iXF9VEE,272804415,,,0,0
2024-06-19T16:45:46.526Z,4JwpdYX7ZfUDFzES46kmmagTasFPy9zvdMe4hFjA71ifbi9QtDJvsNX2tj94acSMoykiL5gr3Vgzaspcm1YXcUea,272804415,,,0,0
2024-06-19T16:45:46.542Z,3RKp3gMQYxZmHSoRaLiuNAefsgssJFPVFjq6siGPCgANfgEnpxgiLyzC3UM8azeXsWd5Hj5ZSfauBTy5WWq5knge,272804415,,,0,0
2024-06-19T16:45:46.540Z,2q3eiRifxDjxVea8LPrKXTbeoWj1hNRMfWZRoQVXqDyJoAHiqpPfasyeNCN8bkbrPL3immUoy8DiCukxX6GRLfGu,272804415,,,0,0
2024-06-19T16:45:46.538Z,VVeHVGQRqJRKEvBRAB1KR6Pqpf7nvntnwHt9X11png166TSdyS1aZ6mUo8TY3fSdCmhXZC4CrVSNpUFveefdojs,272804415,,,0,0
2024-06-19T16:45:46.544Z,3wHS6VQbyeCc3WE1FbVHVQ55Rt8WovxmP8U4Utan8Fm3tdibcmtkV1NdDb3SmmvMMkZkYVsD79TX7GXzoGU4XBU1,272804415,,,0,0
2024-06-19T16:45:46.546Z,p6voWB6VjpfDj1ZExFdkW2QVUQiTyi61afnMgkACY1ktnNLZWQpjTaKi1Ve9nSidgpBViC4awBkutKbCyyCCHuW,272804415,,,0,0
2024-06-19T16:45:46.549Z,54rsTcXm5Ltka1Zhgc95c7PhAXouDYpWEMhzygdJ8HVwYdWPJ57V4RFPBwQpC6c8ZstjKkZk1LAs5UQAsnijFi3S,272804415,,,0,0
2024-06-19T16:45:46.547Z,5XMbRv6XUxSPPC8Njmpexi8fzy7Y5KNpRRyyhFntC9oahk1CkedXqbGy33acrWDX4FjS71UCjWMg9i4tsDptquMS,272804415,,,0,0
2024-06-19T16:45:46.551Z,4JnoebpfpJsQWLJki3NUiq7vAzgm89H7XMCpvCQ7o88WrQFB13TDGdBT6Rd4CD5YQHa6vnvHFjenjdBvsJPJ52dF,272804415,,,0,0
2024-06-19T16:45:46.557Z,4ZaSSNBoeaBDC4SWeLjnd3buN3mBRb9PGPuBqngDzCMqdQRyvWmQ5tA6MCgKWWdtmgxY8sEMUjN3nWVLqDbESFA8,272804415,,,0,0
2024-06-19T16:45:46.553Z,2dDGbKuV3UwocfqWPtNsE12mE8jBuKmmMqiKwPmj7GeapkXDNwGzKUajpwDYgqkaVbnSpcvsWXf4pG8yVULC2ZPM,272804415,,,0,0
2024-06-19T16:45:46.562Z,4U4zpR9oApJQFYvQ4PqNVREag3QfpMC9yycbuWMzn4FYEGj8AhFcPhMUuUx7YynCiz2WrriCunddw9Bivi9D5S74,272804415,,,0,0
2024-06-19T16:45:46.555Z,C7rdWDjSakrv5j15FBbpQnizpsWywdQGVykDWXm8mZWiPvvSZmpxYeAAFMyLa6oEAf2CcQcgGvXywyg21qm15hj,272804415,,,0,0
2024-06-19T16:45:46.564Z,5Pd9pmTxhL5cgH8ixrM1sa2r3wZ6W3LiCP2xjXhDpAamTNM7HUH8TtVejcWYGF3drDsiF6k5X3yYuDLfYchbLvUX,272804415,,,0,0
2024-06-19T16:45:46.559Z,5g8v2EahWsH9oGvQDMNkkE21ozqav6BXLxzCqaVCzEaXSDAPimCnbPeXJvYXAeDaGbFf1HzkSvy7uHBY7ESY4eGj,272804415,,,0,0
2024-06-19T16:45:46.570Z,3woyP52wvew88MeB4fz4knSmx9fmj6EpBV3Cc51wZAZvwpMtenpmNkqpJ2aX1Tdtn1kBh3MHu1U66W9ePzq8A15C,272804415,,,0,0
2024-06-19T16:45:46.568Z,2c81jAE4JsmLdRFLFP6XgC46BnjSwNYiRo1Ad6h8bJHELyLBp1yz2AVNvCQMUvoZ9jiwUAQqozZzskForU6ZJdTH,272804415,,,0,0
2024-06-19T16:45:46.841Z,5vNbzaBc7fvQg4eUpDs2UWwxfjMUD8w6bn1qVWSBG97uL2TWvRywAdEk8EXvAkJGR9MngorEKK8v2ZJtyqwyCo3W,272804415,,,0,0
2024-06-19T16:45:46.838Z,5Pft9dGGP7SrVGorpHMDetWmPsSZXWW7tTtzT2iqBRrZ1QWUoXMw4WUGrxuWDBzBw7w3MBBrQ62zD2sbZLBKmiFN,272804415,,,0,0
2024-06-19T16:45:46.844Z,2mYEz5hzgbtzJkiULPqVWE96dicba9B84Z6ZH6dU19EjB9yDmdviEQSp3oGh8HrUya3zhkKk9s9jGoA467KhemZE,272804415,,,0,0
2024-06-19T16:45:46.843Z,4gDW6yutTMr9VwUKn9es2GycAfwpGmBZEtzcZUeHNF2rEp8NBahQKMLdn1HTaLCsPyA86TBaYGw7E8E4d9FiyE1W,272804415,,,0,0
2024-06-19T16:45:46.848Z,4pUh3aX8qyRWGW3xwRc5bjKGZDTchQqwMqMhhUhbCdhe5vEa1rW83cWU3D7W6azfLUseMDthjStBvpUoFNRaWMnr,272804415,,,0,0
2024-06-19T16:45:46.851Z,61XGib4vucdTxQBt2LxwBYbhJV2AizUVTChPR7HRXjQvtuehA9AcX6iZXVTpeZ3EYxJEn3Uy2NzSNjiTDWyzakm9,272804415,,,0,0
2024-06-19T16:45:46.847Z,5XZGqhvGEKefcQbkTw6Wz6xpQVfdTN65HcegmU43v1EyrNdDheTWfAR6aLVb6A9RMBLUhoBHs6K5ipbvhmhyzfB2,272804415,,,0,0
2024-06-19T16:45:46.857Z,5Qg5L5ZCpaWYEf17FbirirTYj8FPvPxG8AkxLmzQnoDYVLfhReGxtVwtkss813tSVesjjxDK1UM2xKVVBJ1vuDMX,272804415,,,0,0
2024-06-19T16:45:46.854Z,3ZdzRUqG839sMaxQoYUnPcrf2t58UL6zosdRcpzh2qfqJqw9dcBnWdRPu71k6iv9mCb1WiCvQaT28WP74MPVBRvL,272804415,,,0,0
2024-06-19T16:45:46.859Z,2mqzFTVrYQEgAndqWoiivgiiFRJiqqs8jGo9Bzw59ok3jFNkPzour6G26qxKR62jWKgt9deaa2FMDpRESafUjEeE,272804415,,,0,0
2024-06-19T16:45:46.860Z,5RLVJMFTDRxrPiwZ4RwAP2ZcS69ppPcMNkFvBGiWguDGBs8VyVxx67SAuAhgqxbTWA1fg5wyTf9jyQd7zovE34Qn,272804415,,,0,0
2024-06-19T16:45:46.863Z,5pKoKkwra5AYctYCxGVtCMnixcn2U74VTJ1vWB2GBQi9gttPqKyvigGbDPnxBt7d4p3zZD8YFKGSLqfdG4zp8EL3,272804415,,,0,0
2024-06-19T16:45:46.868Z,Zt37mn6EcwBaBy9gJDruzXWDzC81s1ofjEpYwZstMeSDTNjdhHWhCDwNDYxjjLN3VAgysApg2tQEGvhnxWRPHo5,272804415,,,0,0
